arch,dtype,state_dtype,b,sq,num_k_heads,num_v_heads,head_k_dim,head_v_dim,NUM_BLOCKS_PER_V_DIM,NUM_WARPS,WARP_THREADS_K,duration
gfx950,torch.bfloat16,torch.bfloat16,9,1,4,8,128,128,8,4,16,5.7590000000000146
gfx950,torch.bfloat16,torch.bfloat16,10,1,4,8,128,128,8,4,16,5.819499999999948
gfx950,torch.bfloat16,torch.bfloat16,11,1,4,8,128,128,8,4,16,5.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,12,1,4,8,128,128,8,4,16,5.999000000000024
gfx950,torch.bfloat16,torch.bfloat16,13,1,4,8,128,128,8,4,16,6.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,14,1,4,8,128,128,8,4,16,6.358999999999924
gfx950,torch.bfloat16,torch.bfloat16,15,1,4,8,128,128,8,4,16,6.45900000000006
gfx950,torch.bfloat16,torch.bfloat16,16,1,4,8,128,128,8,4,16,6.558999999999969
gfx950,torch.bfloat16,torch.bfloat16,17,1,4,8,128,128,8,4,16,6.839000000000169
gfx950,torch.bfloat16,torch.bfloat16,18,1,4,8,128,128,8,4,16,6.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,19,1,4,8,128,128,8,4,16,7.0190000000000055
gfx950,torch.bfloat16,torch.bfloat16,20,1,4,8,128,128,8,4,16,7.119000000000028
gfx950,torch.bfloat16,torch.bfloat16,21,1,4,8,128,128,8,4,16,7.439000000000078
gfx950,torch.bfloat16,torch.bfloat16,22,1,4,8,128,128,8,4,16,7.558999999999969
gfx950,torch.bfloat16,torch.bfloat16,23,1,4,8,128,128,4,4,16,7.638999999999896
gfx950,torch.bfloat16,torch.bfloat16,24,1,4,8,128,128,8,4,16,7.7590000000000146
gfx950,torch.bfloat16,torch.bfloat16,25,1,4,8,128,128,4,4,16,8.278999999999996
gfx950,torch.bfloat16,torch.bfloat16,26,1,4,8,128,128,4,4,16,8.298999999999978
gfx950,torch.bfloat16,torch.bfloat16,27,1,4,8,128,128,8,4,16,8.419500000000085
gfx950,torch.bfloat16,torch.bfloat16,28,1,4,8,128,128,8,4,16,8.499000000000024
gfx950,torch.bfloat16,torch.bfloat16,29,1,4,8,128,128,8,4,16,8.659500000000094
gfx950,torch.bfloat16,torch.bfloat16,30,1,4,8,128,128,8,1,8,8.759000000000015
gfx950,torch.bfloat16,torch.bfloat16,31,1,4,8,128,128,2,4,8,8.819000000000074
gfx950,torch.bfloat16,torch.bfloat16,32,1,4,8,128,128,2,4,8,8.97950000000003
gfx950,torch.bfloat16,torch.bfloat16,33,1,4,8,128,128,4,4,16,9.298999999999978
gfx950,torch.bfloat16,torch.bfloat16,34,1,4,8,128,128,4,4,16,9.399000000000115
gfx950,torch.bfloat16,torch.bfloat16,35,1,4,8,128,128,4,4,16,9.559000000000083
gfx950,torch.bfloat16,torch.bfloat16,36,1,4,8,128,128,4,4,16,9.699499999999944
gfx950,torch.bfloat16,torch.bfloat16,37,1,4,8,128,128,4,4,16,9.699499999999944
gfx950,torch.bfloat16,torch.bfloat16,38,1,4,8,128,128,4,4,16,9.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,39,1,4,8,128,128,4,4,16,9.918999999999983
gfx950,torch.bfloat16,torch.bfloat16,40,1,4,8,128,128,4,4,16,9.999000000000024
gfx950,torch.bfloat16,torch.bfloat16,41,1,4,8,128,128,2,4,16,10.338999999999942
